45.31954921409488,27.045284514315426,11.870957549661398,10.180405864492059,8.983365185093135,5.392652782611549,3.5861775246448815,3.9100935026071966,3.7238312726840377,4.5378356305882335,4.562763915164396,4.4100681762211025,4.227792146615684,3.1700755986385047,2.52378809498623,2.929102254973259,4.124004657845944,2.556956995744258,6.849444090388715,8.499479453545064,6.7967303157784045,26.005562238395214,42.07336079329252,79.82995740324259,103.1850355565548,89.93730552494526,53.53184811770916,42.20585514605045,29.361325915902853,230.20071214437485,244.212446808815,246.08681893348694,167.07314280420542,87.95631167292595,78.62338644266129,67.18198411539197,36.67963642068207,24.890304751694202,24.88496638648212,195.70443810336292,559.0389589369297,489.57133972644806,451.5909044742584,211.83287155628204,256.1657137274742,351.40970754623413,403.52286298945546,752.9211305081844,629.424045458436,83.6590113863349	45.860738061368465,28.22266506962478,11.325023800134659,11.173849064856768,10.003902843222022,5.925219248980284,3.779058784712106,3.4663991113193333,3.2787931757047772,3.797955999849364,4.015178269241005,3.735093468800187,3.619343860540539,3.4485096340067685,2.6400834093801677,2.9030682244338095,3.926897502504289,2.4379482455551624,6.690235019661486,7.952423857524991,6.256980214267969,27.366687819361687,39.96812375634909,71.3892440199852,104.05788387358189,95.53322412073612,54.79805501550436,41.071906957775354,27.56666700541973,236.17937076091766,256.16624465584755,245.91242390871048,173.8900456726551,86.105613976717,77.5192922949791,62.55375764518976,31.997066847980022,25.72578121908009,24.637481685727835,223.12044382095337,556.1598296165466,487.0013928413391,462.9155584573746,207.11211773753166,255.82576197385788,130.59453193843365,197.05419620871544,155.89036971330643,140.0464451611042,84.120189577341088.13276950456202,4.994640039280057,2.447758482536301,1.1430869668256491,1.0812170087592676,0.4276430046884343,0.30958971654763445,0.27316475423867814,0.1938143480801955,0.16775367883383296,0.1530689100472955,0.17714404725120403,0.16888883314095438,0.12792152253678069,0.12491231906460598,0.13412687950767577,0.13228655005514156,0.14923735822958406,0.15140543127199635,0.12384691408078652,0.1231449142069323,0.12472689063724829,0.12483041387895355,0.1218051000032574,0.1232647154974984,0.12393400145811029,0.1209412967073149,0.12340325238619698,0.12360371358590783,0.11012241517892107,0.10978717845136998,0.1394833441445371,0.13863005691382568,0.12208171296515502,0.12146061970270239,0.12997951197030488,0.1268201143029728,0.12176483096118318,0.1237862274501822,0.1112996977462899,0.1110542453097878,0.11499837857263628,0.11504499118746025,0.12445381583529525,0.12484748369024601,0.12870718039630447,0.12869408169353846,0.12058549272478558,0.121392002896755,0.11851267667225329	8.447603924199939,5.452485084533691,2.650271233636886,1.1097603124799207,1.0580796473659575,0.4457031171186827,0.3185977956163697,0.24724446548498236,0.17842783335072454,0.17380690552818123,0.1539424048969522,0.14182840276043862,0.1369362162804464,0.13087679613090586,0.12650807798127062,0.1236324074343429,0.1223249652684899,0.12209272773907287,0.12178185212542303,0.11913496484339703,0.1183232908588252,0.11991712481540162,0.12004430101660546,0.12237542869115714,0.12377140698663425,0.12416306522209197,0.12189502737601288,0.1201122727143229,0.11848034692957299,0.11629682777856942,0.11454515466175508,0.11390457269953913,0.11272565888793906,0.1117005594605871,0.11099491603818024,0.11429061107628513,0.11228835477959365,0.11198469434020808,0.11303326718916651,0.11316936678485945,0.11334821810305584,0.11348792920034612,0.11480471938557457,0.11604228403302841,0.11433462400600547,0.11468619386141654,0.11456043973157648,0.11443027781206183,0.11496968071151059,0.11566373459936585455429,4.306941341608763,1.8762958757579327,0.6199074117466807,0.717348080361262,0.45382063870783895,0.33314211037941277,0.22702985286014155,0.20755837770411745,0.19197887665359303,0.17677946074400097,0.17014368704985827,0.16406769197783433,0.15886263537686318,0.15200139360968024,0.1494850064336788,0.14924036942829844,0.14188053880934604,0.13953050457348581,0.15936718325247057,0.15717815468087792,0.13596781202068087,0.13563684896507766,0.12910271656437544,0.12844414859137032,0.14183317832066678,0.14345813512045424,0.1470190814579837,0.14660093063139357,0.13608083243889268,0.13538842679554364,0.12340366291755345,0.12480421937652864,0.1288887259506737,0.1287001184100518,0.14292779478273587,0.14372975628066342,0.14185765574802645,0.14343986728636082,0.1410609410086181,0.14282148506026715,0.14796265379118267,0.1499168732771068,0.14872129340074025,0.1495609615885769,0.15238585259066895,0.15403592356597073,0.14838282584241824,0.14926118720904924,0.14508531989122275	9.942177990451455,4.507358816917986,2.035049843136221,0.7286915910081007,0.7187061463482678,0.4874044327298179,0.3725687190890312,0.26371219055727124,0.2275800881907344,0.20697679091244936,0.1868163557664957,0.16961306121083908,0.16484181227860972,0.15912842890247703,0.15404266928089783,0.15046971873380244,0.14559544072835706,0.13941440179769415,0.13658250716980547,0.1366557045803347,0.13565048525924794,0.13392620414379053,0.13383571310259867,0.1344859068049118,0.13384162254806142,0.13272755135403713,0.1342010014996049,0.13502077355224174,0.13533491895941552,0.13719259835488629,0.13690471307199914,0.13788487132114824,0.1381517084009829,0.1378797061915975,0.13723093109001638,0.1361220386097557,0.13538159387826454,0.13480219538905658,0.13601542934338795,0.13916035085276235,0.14162453266908415,0.14161187598438119,0.14279582249946543,0.14464412404049654,0.14688156704323774,0.14850667538121343,0.15027048683259636,0.15193224634276703,0.15380164016096387,0.15507848143170122
5.4631852470338345,2.7220693565905094,1.9223761442117393,1.0884452210739255,0.5797170206787996,0.4658706222544424,0.23027164483210072,0.22962185012875125,0.1927203974337317,0.16463092971389415,0.1448110260098474,0.14809019188396633,0.14656649774406105,0.1366802805569023,0.13175512908492237,0.1384485913440585,0.13616182166151702,0.1314298530051019,0.1325028144638054,0.1264628342614742,0.1254464459780138,0.11716015668571345,0.11807955989934271,0.13851141346094664,0.13861670058395248,0.12125778125482611,0.12117026782652829,0.12082282304618275,0.12139792405650951,0.13802097860025242,0.13805383192084264,0.11967192240263103,0.12012336821862846,0.12339904071995988,0.12384853567345999,0.11713384119502734,0.11769247039046604,0.13907695113448426,0.13958642940269783,0.13403029418259393,0.1356923677958548,0.13151899015065283,0.13230805768398568,0.17575719815067714,0.178559956519166,0.14371068055334035,0.1460982594289817,0.15701249268022366,0.15993247031292412,0.15613877738724113	5.812979158014059,2.6908483365550637,1.765897520352155,1.0975410528481007,0.6146306419977918,0.4344672445440665,0.2212770322803408,0.19681072514504194,0.16758099777507596,0.16024216124787927,0.1453646521695191,0.1396675723080989,0.13579010352259502,0.12998210759542417,0.12597353258024668,0.12143404307425953,0.12101082091976423,0.12169869162607938,0.12180402835656423,0.1199215155938873,0.1180242743139388,0.11779651345568709,0.11769425201055128,0.11689805566857103,0.11657139850285603,0.11838292662287131,0.1179624423966743,0.11719498029560782,0.11820699111558497,0.11928691162029281,0.12016073254926596,0.12159148939826991,0.1223103425145382,0.12186374053999316,0.12203482261975296,0.12437695925473236,0.12624386147945188,0.12717238879122306,0.12775599368615076,0.12976753251132322,0.1320221096975729,0.13336276155314408,0.13436713584815152,0.13693431350111496,0.13999879902985413,0.1432590883487137,0.1452510626259027,0.14731294669036288,0.15076293765741866,0.1519085607433226
6.665995257906616,3.1409279711078852,2.1382807574700564,1.136225069873035,0.588921096699778,0.44108192512067035,0.35286545183043927,0.2538733783585485,0.21685510006500408,0.19871137334848754,0.19010613302816637,0.19047741231042892,0.18472953716263874,0.18619966824917356,0.18471581359335687,0.16463783523067832,0.16295541120052803,0.1683405515505001,0.1657499290886335,0.16998703819990624,0.16936816090310458,0.17126979830209166,0.1686048824194586,0.16145064143347554,0.1616302592738066,0.16108918594545685,0.16306507600529585,0.15577523916726932,0.15560382141848095,0.1766278931463603,0.17750037959194742,0.1840691641846206,0.18558479331841227,0.1814392025116831,0.18417893793957774,0.18382589489920065,0.1858831089339219,0.1879648641042877,0.18972252710955217,0.18803263077279553,0.18916002727928571,0.16653282279730774,0.16781100220396183,0.20160728396149352,0.20621142469462939,0.19674850109731779,0.1968581958062714,0.17369364683690947,0.17502108187181875,0.18858218312379904	6.7657819557935,3.307292646728456,2.2857816349714994,1.2040146546205506,0.6315105828689411,0.4664029513951391,0.33100732203456573,0.23939645258360542,0.21489479509182274,0.1837669502274366,0.17984470014926046,0.1712596586876316,0.16363705732510425,0.1591841817717068,0.15730563313991297,0.1579681751973112,0.15678274306992535,0.1545700216665864,0.15265437452762853,0.15158045933640096,0.1507475891703507,0.148924584776978,0.14623040956212208,0.14664709553471766,0.14581221326079685,0.14541687623568578,0.14501969205593923,0.14489980990765616,0.14552742055093404,0.14575523153325776,0.146755315901828,0.14834047893964453,0.14919476565773948,0.1514687489689095,0.15376903404830955,0.1531258361210348,0.1533939803339308,0.15505772577307653,0.1568088526109932,0.15675525029655546,0.15788079405319877,0.15798371876007877,0.15822244228911586,0.15948036416375544,0.16168694544467144,0.16222148356609978,0.1623915186501108,0.1638566157198511,0.16377846794785,0.16290454028057866
10.183176591992378,3.7401853166520596,2.061086436267942,1.2469971757382154,0.7314500805223361,0.4208480133675039,0.3400892971549183,0.28199777762347367,0.23923034471226856,0.2051920972589869,0.1946621788374614,0.17695772452862002,0.17507277769618668,0.16610419147764333,0.16484714680700563,0.19684174805297516,0.1935738358879462,0.15062532559386455,0.1499283854791429,0.15945230120996712,0.15785910019621952,0.1565581826143898,0.15709408903785516,0.1609662134142127,0.1637665760354139,0.18074232984508853,0.18342701670189854,0.14292967475194018,0.14360583820962347,0.1568339150690008,0.15741394124052022,0.1520845278573688,0.1537174854602199,0.16417238974827342,0.1648037255217787,0.21502364097250393,0.21614335346384905,0.1973023388418369,0.19797842667321675,0.18256048845796613,0.18360076945100445,0.16167054678226123,0.16388286402798258,0.16414927103323862,0.16533480380894616,0.1908776293566916,0.19343176012625918,0.21504580252803862,0.21660956199048087,0.20136295772681478	10.14667799230665,3.717072722502053,2.092095595318824,1.264686250127852,0.7383472942747176,0.4395657750428654,0.33312825713073835,0.24361157894600183,0.19598721191869117,0.17769489498459734,0.15719269166584127,0.1571728437265847,0.1525043107685633,0.1525081696745474,0.1516914382809773,0.149810067639919,0.14876292677945457,0.14650566276395693,0.14557376614538953,0.14478032957413234,0.1420572163478937,0.14056389713368844,0.13973833553609438,0.1372046281467192,0.13503001735080034,0.13446057005785406,0.13501962588634342,0.13642981494194828,0.13614942904678173,0.1345708662411198,0.13525130183552392,0.13546439379570074,0.13487676151271444,0.13632385798700852,0.13737824797135545,0.13744591167778708,0.13938233368389774,0.1426675322582014,0.14285457409278024,0.1429150128897163,0.1446267670398811,0.1464533620601287,0.14842005021637306,0.1493401109764818,0.15060786495450884,0.15273141014040448,0.15376810132875107,0.15374622133094817,0.1540025369176874,0.15634612148278393
0.35918930236948654,0.3163676917902194,0.24748718965565786,0.2642843701178208,0.25906222086632624,0.2675643082911847,0.2650971335970098,0.23063671376439743,0.22893866206868552,0.25327494539669715,0.2537375506362878,0.2404793698224239,0.24280314007773995,0.24487061603576876,0.24346271975082345,0.25220350752351806,0.25288364753942005,0.2744063413119875,0.2752722616714891,0.2682695043331478,0.2680712227593176,0.2682957275392255,0.2663211806502659,0.2795099806098733,0.28159761911956593,0.2565717956167646,0.25391168252099305,0.2342135146027431,0.2350257090292871,0.26567465052357875,0.2659866282483563,0.25596761277120095,0.2585296684410423,0.2585412510088645,0.2573784203850664,0.2645621580595616,0.2634289257694036,0.2570519459550269,0.2566322198690614,0.2630192373180762,0.26330232160398737,0.28027673393080477,0.28001023293472826,0.24208660703152418,0.24357200972735882,0.2691166987642646,0.26939745382696856,0.27040867361210985,0.26652900654880796,0.26832620703498833	0.38558094145264477,0.33737078140256926,0.2739180629141629,0.25112936017103493,0.24770113738486543,0.2511519425897859,0.2509745033312356,0.25197061357903294,0.2499245964718284,0.2516217259399127,0.2535895564069506,0.2522703491267748,0.25352170076803304,0.2544817903544754,0.25274271972011775,0.25134755665203556,0.25121332780690864,0.25564850692171603,0.25961499905679375,0.2580041220644489,0.25364147522486746,0.25242335646180436,0.2529130353941582,0.2513216305524111,0.25310421868925914,0.25619449745863676,0.25428060194826685,0.2522591802990064,0.25396091351285577,0.2564154002175201,0.25851182648329996,0.2550914261955768,0.25500969553831965,0.2567051420919597,0.25648259941954166,0.25920297513948753,0.2585099199786782,0.2553269804629963,0.25542845868039876,0.256854164035758,0.25766340288100764,0.25969544347026385,0.2591499357367866,0.25719606201164424,0.2577111450082157,0.25719860498793423,0.2576090766233392,0.25604652136098593,0.2534523815556895,0.253945117641706
0.36988308135187253,0.30085406859871,0.2504386764485389,0.23909698377246968,0.24305141958757304,0.21810163927148096,0.21382227155845612,0.25058335228823125,0.2507698845292907,0.2458305811160244,0.24634487860021181,0.2345332296390552,0.23605018225498497,0.2575900156516582,0.25688653482939117,0.25756938647828065,0.2589388682099525,0.26514504637452774,0.265131865919102,0.25883172370959073,0.2587675777322147,0.2640279180777725,0.26348895620321855,0.26922680882853456,0.2710759283800144,0.27809091296512634,0.2770013883127831,0.2800328056910075,0.2829173283826094,0.2287855640752241,0.22866060229716823,0.2450295666058082,0.24462725839111954,0.27828023122856393,0.27970786462537944,0.2719227035413496,0.27245162552571855,0.24623042851453647,0.24632365023717284,0.261575805809116,0.2589199895155616,0.25792320651817136,0.25843662102124654,0.2445442477473989,0.24416697898413986,0.27231085134553723,0.2703910881828051,0.28170704463263974,0.2826736295828596,0.26762641861569136	0.4274960175389424,0.29267529943899717,0.24924654280766845,0.24077487754402682,0.24364560379763134,0.2357404379581567,0.23324655526084825,0.2324154113593977,0.23300893569830805,0.23435535907628946,0.23475115484325215,0.23552386739174835,0.23680608154973015,0.2373842028027866,0.2376794514420908,0.2382184035377577,0.23875750167644583,0.2380600132746622,0.23825369044789113,0.23916563112288713,0.23905503196874633,0.23995991091942415,0.24036419790354557,0.24169038119725883,0.2430905686924234,0.24105496649281122,0.24024686281336471,0.24077095522079617,0.2427049828984309,0.24289653089363128,0.24347046727780253,0.24103218567324802,0.23977802303852513,0.24107145657762885,0.24297145573655143,0.24362331040902063,0.24417873640777543,0.2448329992184881,0.24516010406659916,0.2447062587016262,0.24383550925995223,0.24567869275051635,0.2475355021597352,0.24676424049539492,0.2455066283000633,0.24588185275206342,0.24732925367425196,0.24982701399130747,0.25100030380417593,0.24717934700311162
0.3916127138072625,0.30674160837952513,0.28330640014610253,0.2642931130103534,0.2520058156515006,0.26243675136356615,0.2624826901592314,0.2528457942971727,0.2540360889106523,0.23043579162913375,0.22868001327151433,0.2547581831458956,0.2546873258543201,0.23863237851765007,0.23765591860865243,0.25783233041875064,0.2591901102568954,0.2543244953849353,0.25379590707598254,0.25821168144466355,0.2595105899963528,0.23686921977787279,0.23787546885432675,0.2380890675703995,0.23546869755955413,0.2737082964449655,0.27324386770487763,0.26070419177995063,0.2623137093614787,0.2398785945842974,0.2429356451611966,0.26901903763064183,0.26871780466171913,0.25900284547242336,0.2596794602286536,0.2555660250072833,0.25846642631222494,0.2459532830689568,0.24770052285748534,0.2705806096200831,0.2692167984787375,0.2820810646226164,0.2817350768891629,0.25093057396588847,0.2509533721022308,0.25386085506761447,0.25667399977101013,0.26127491613442544,0.2580641667445889,0.27361207178910263	0.35842843842692673,0.2703747305495199,0.2634372626489494,0.2491890544188209,0.24176703856210224,0.24149154970655218,0.2435958293499425,0.24585269653471187,0.24768225685693324,0.24757642816985026,0.24781072727637365,0.2495974567718804,0.25085273158038035,0.253096382250078,0.25279453833354637,0.2518742816755548,0.2523658951977268,0.2534687494044192,0.25413638705504127,0.25439950835425407,0.2552556548034772,0.2573618735768832,0.257677058049012,0.260510788008105,0.26038213266292587,0.257894113776274,0.25928273843601346,0.26138676289701834,0.2619487555930391,0.2611002944468055,0.26360576672595926,0.2632400910370052,0.26222022049478255,0.2651815654244274,0.2648213530774228,0.2651175998034887,0.2666248508321587,0.2667266773933079,0.26701929699629545,0.26743107644142583,0.2668122806935571,0.2639532820903696,0.26312702940776944,0.26631746714701876,0.2665222549403552,0.2662948920915369,0.2683576477575116,0.2721089705009945,0.27019711781758815,0.2664193852106109
0.8825871540466323,0.5481886741472408,0.39933711633784696,0.29846608982188627,0.2755858333548531,0.27832272462546825,0.2659947520151036,0.2649054564826656,0.2623256105289329,0.23406467193854041,0.23549726259079762,0.23760331538505852,0.2355363963288255,0.25213095982326195,0.25350276625249535,0.22047819590079598,0.22072379614110105,0.2326399635639973,0.23231907960143872,0.2299929191940464,0.22938348483876325,0.22733994043665007,0.22823309112573043,0.2475635048467666,0.2502817826461978,0.25925337956869043,0.25824514421401545,0.2344666604185477,0.23485146657912992,0.24554019985953346,0.24583682644879445,0.23358139966148883,0.23382529939408414,0.24403306856402196,0.24371230791439302,0.25871488341363147,0.25618620950262994,0.23812309512868524,0.23933674657018855,0.2263608617358841,0.2266658534645103,0.24349962355336174,0.24329717311775312,0.24698138592066243,0.24677489310852252,0.25026728145894594,0.2501499238132965,0.2433555448660627,0.24237822089344263,0.2188280608970672	0.833918496966362,0.5289029604755342,0.3452436765655875,0.2849077058490366,0.24774074228480458,0.24826154072070494,0.25066119263647124,0.24226180781261064,0.24233217915752903,0.23766448872629553,0.24027042358648032,0.2450349256687332,0.24390317904180847,0.24114547847420909,0.24324468968552537,0.24635429031332023,0.24736318198847584,0.24528486566850916,0.24600148505123798,0.24965772247378482,0.25061867768818047,0.24739744991529733,0.24831774563062936,0.2533171730756294,0.2552773196948692,0.2541342852055095,0.2532269604271278,0.2532374220609199,0.2546251204330474,0.25792935310164467,0.259032589441631,0.2567226409446448,0.2567064693721477,0.25613023759797215,0.25632634124485776,0.2543938473681919,0.25264137086924165,0.2535905517579522,0.2557318157632835,0.2544191108318046,0.2542665141518228,0.25682467519072816,0.2569075198844075,0.25844518723897636,0.2582810568273999,0.2553004542423878,0.25527048445655964,0.25561970548005775,0.25551061279838905,0.25859795219730586
0.5098024336621165,0.3711897548637353,0.2661245675990358,0.25845713895978406,0.24494121011230163,0.25534411560511217,0.24988428124925122,0.23743469415057916,0.23476525077421684,0.23996557295322418,0.24057902974891476,0.2629669930320233,0.2632993660517968,0.21679872178356163,0.21791588253108785,0.24721090972889215,0.24829865846550092,0.25226186896907166,0.2506117709563114,0.23974265999277122,0.23859329943661578,0.247378332860535,0.24681511672679335,0.2589090578840114,0.259562889841618,0.2527208306128159,0.25315375821082853,0.24064353975700215,0.24060020444449037,0.24359598965384066,0.24341878987615928,0.2440341364708729,0.24349288099620026,0.2318844733235892,0.23244339544908144,0.2599034555896651,0.25906929848133586,0.2533860453404486,0.2548462681588717,0.22488077165326104,0.2258868752978742,0.2755922584910877,0.27791246969718486,0.26628023185185157,0.26644755332381465,0.24476947577204555,0.24613954563392326,0.2614417170989327,0.26234550624212716,0.27634020274854265	0.5304710546624847,0.3781303729629144,0.2842630663071759,0.2826351266121492,0.26434706526924856,0.2508617212297395,0.2524073434760794,0.25551526638446376,0.25244741525966674,0.2507331853848882,0.2531091174023459,0.25287295343878213,0.25344501380459405,0.25357872355380096,0.2536464706645347,0.2550480109639466,0.2567344360577408,0.2576017547980882,0.2576007626194041,0.25596229059738107,0.2550668465846684,0.25526115120737813,0.2553339921287261,0.2580125917447731,0.2608349127112888,0.26321999717038125,0.2633017180778552,0.2559439057658892,0.2549143700452987,0.26159463764633983,0.2622779016965069,0.26219970610691234,0.2625565888010897,0.2608106686966494,0.2624397915787995,0.264475203526672,0.2641533800342586,0.263906872656662,0.2651447574608028,0.2682130024768412,0.2692259373725392,0.26778155949432403,0.2677582118776627,0.2659893109812401,0.2649906274746172,0.2646053904609289,0.2660424155474175,0.2728537855728064,0.2750143500161357,0.2732793534814846
0.8967793749179691,0.4193452834733762,0.3402922741952352,0.26934285798779456,0.23419358232058585,0.2585922193247825,0.2605999016959686,0.24182789109181613,0.23908217760617845,0.23033055271662306,0.23061154379684012,0.23994356690673158,0.24168013979215175,0.23541732062585652,0.23512124572880566,0.2692692811251618,0.26885082366061397,0.23808159463806078,0.23869044860475697,0.2553551489545498,0.25598834815900773,0.2521260734065436,0.2519001535256393,0.25155239104060456,0.2513878421159461,0.2663681768171955,0.2667325458605774,0.23384996746608522,0.23389239780954085,0.24905284566921182,0.25120486595551483,0.2331483784946613,0.23345837980741635,0.24573654442792758,0.24714310278068297,0.2634666452649981,0.2649926171870902,0.24619736894965172,0.24493854318279773,0.26986359077272937,0.2700231854105368,0.2509880616562441,0.25142365731881,0.2657508256379515,0.2677492767688818,0.27066808548988774,0.2675277513335459,0.29003778367768973,0.29120491398498416,0.2800756696378812	0.9698898426722735,0.4162378906039521,0.3531058268272318,0.2761850848328322,0.25669331158860587,0.2546044498158153,0.2519876761944033,0.25689895066898316,0.25814516947139055,0.2599608218879439,0.2615181322908029,0.26112535793799907,0.2621350232511759,0.2633589208126068,0.26373090234119445,0.2633037423947826,0.2624172830255702,0.2615765114314854,0.261845740955323,0.2629715976654552,0.26391859556315467,0.2628319262294099,0.2620879441383295,0.2642705768812448,0.2643416930222884,0.2631679145852104,0.2636108406295534,0.26500464975833893,0.2662920650909655,0.26421807694714516,0.26462185333366506,0.26251349874655716,0.2612429583386984,0.2652930842305068,0.26619842695072293,0.2641705735004507,0.2640255183214322,0.26478209433844313,0.26383832152350806,0.2612390574067831,0.2605154676712118,0.26068538273102604,0.26103921662434004,0.26062986938632093,0.26064278234844096,0.26149390486534685,0.26047040772391483,0.26056578377028927,0.2608376793505158,0.25855341550777666
0.5066837052581832,0.35145309002837166,0.2648950604489073,0.2662748000584543,0.260682635998819,0.23158155498094857,0.22060912544839084,0.25330274406587705,0.2543089458486065,0.2517319685430266,0.2548450251633767,0.21870974049670622,0.21334256426780485,0.25057789677521214,0.25056954158935696,0.24470418062992394,0.2439828292990569,0.2541361289913766,0.25578559580026194,0.2514856759516988,0.25491008191602305,0.250025457207812,0.25073410003096797,0.23505828733323142,0.23634342604782432,0.2560749680851586,0.2564417925896123,0.23729700339754345,0.23657413700129837,0.25062671926571056,0.2527580941678025,0.2428750992694404,0.24395853375608567,0.24235816538566723,0.24232497179764323,0.2673954786150716,0.26464922475861385,0.25957057139021344,0.26064982503885403,0.26026433578226715,0.2596569723682478,0.2323718197294511,0.23156595649197698,0.22530179805471562,0.22607956241699867,0.26241289608879015,0.2626226883730851,0.2583994966116734,0.2565865317301359,0.2563410025613848	0.47714714240282774,0.39613491960335523,0.2909675339469686,0.2502541837457102,0.2501176731893793,0.2500455218250863,0.24473339115502313,0.24416427285177633,0.2432155357382726,0.2443434042870649,0.2474302368791541,0.2503967651282437,0.2506422930455301,0.2506865246396046,0.2508562743314542,0.2520419959910214,0.2514067476004129,0.2525166819250444,0.2539140136213973,0.253700749744894,0.2546751271293033,0.25562420250935247,0.255365244083805,0.254301601627958,0.25542804022552446,0.2591051440977026,0.2601449936046265,0.25794051864068024,0.2567971051612403,0.2581072256434709,0.2586049753881525,0.261768291820772,0.26375108171487227,0.26162393152480945,0.2616573132108897,0.2642848800169304,0.26284485816722736,0.2634065783931874,0.2647370584309101,0.26280533301178366,0.26135223265737295,0.26039632013998926,0.26167830894701183,0.26141964097041637,0.2611889292311389,0.2640337375923991,0.2633430724381469,0.26245447937981226,0.2626983266673051,0.2681688962620683
